CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11040866,2008.7092948,1,92000.0,,,196431.0,1980.0,3,16980,3,501.0,AHS_2023,2023,1,0,5.0,30.0,800.0,,,,,1.0,1.0,
11040867,2946.1665789,1,86600.0,,,236455.0,1991.0,3,16980,5,359.0,AHS_2023,2023,1,0,5.0,30.0,800.0,,,,,1.0,1.0,
11040868,2984.1411388,2,40000.0,1000.0,,,2008.0,3,16980,6,172.0,AHS_2023,2023,0,1,4.0,15.0,800.0,1.25,,,,0.75,0.5,0.8333333333333334
11040870,1435.0217959,,,,,79408.0,,3,16980,4,,AHS_2023,2023,0,0,,,800.0,,,,,,,
11040871,3064.4577785,1,137000.0,,2803.0,299922.0,2023.0,3,16980,6,434.0,AHS_2023,2023,1,0,4.0,0.0,800.0,,0.0,,0.0,0.75,0.0,
11040873,1928.0762413,1,77000.0,,2886.0,609379.0,1988.0,3,16980,9,385.0,AHS_2023,2023,1,0,5.0,30.0,800.0,,,,,1.0,1.0,
11040875,2008.7092948,1,532640.0,,,333207.0,2019.0,3,16980,8,501.0,AHS_2023,2023,1,0,5.0,4.0,800.0,,,,,1.0,0.13333333333333333,
11040876,2405.4074873,2,83000.0,2200.0,,,2023.0,3,16980,6,410.0,AHS_2023,2023,0,1,5.0,0.0,800.0,2.6881720430107525,0.0,0.0,0.0,1.0,0.0,1.2293906810035842
11040877,4101.3035207,1,72000.0,,660.0,211921.0,2017.0,4,99999,5,237.0,AHS_2023,2023,1,0,4.0,6.0,690.0,,0.0,,0.0,0.75,0.2,
11040879,5992.8164468,1,97900.0,,,343489.0,1995.0,6,99998,6,501.0,AHS_2023,2023,1,0,5.0,28.0,550.0,,,,,1.0,0.9333333333333333,
11040880,7988.3734204,2,54000.0,1600.0,,,2020.0,6,99998,6,261.0,AHS_2023,2023,0,1,4.0,3.0,550.0,2.6881720430107525,1.0,0.0,1.0,0.75,0.1,1.1793906810035841
11040882,5328.1231024,2,113000.0,700.0,,,2023.0,5,99999,5,482.0,AHS_2023,2023,0,1,2.0,0.0,1200.0,0.5833333333333334,,,,0.25,0.0,0.2777777777777778
11040887,2624.9447068,2,78100.0,1000.0,,,2019.0,3,16980,4,501.0,AHS_2023,2023,0,1,5.0,4.0,800.0,1.25,0.0,0.0,0.0,1.0,0.13333333333333333,0.7944444444444444
11040888,1990.1348962,1,19000.0,,,240230.0,2006.0,3,16980,6,132.0,AHS_2023,2023,1,0,4.0,17.0,800.0,,,,,0.75,0.5666666666666667,
11040889,2168.6808374,2,30000.0,1300.0,,,2023.0,3,16980,2,192.0,AHS_2023,2023,0,1,5.0,0.0,800.0,1.625,0.0,0.0,0.0,1.0,0.0,0.875
11040891,2431.2093729,2,9000.0,10.0,,,2021.0,3,16980,4,62.0,AHS_2023,2023,0,1,2.0,2.0,800.0,0.0125,,,,0.25,0.06666666666666667,0.10972222222222222
11040892,1435.0217959,,,,,,,3,16980,6,,AHS_2023,2023,0,0,,,800.0,,,,,,,
11040893,2444.5119862,1,66000.0,,1271.0,248320.0,2021.0,3,16980,4,423.0,AHS_2023,2023,1,0,4.0,2.0,800.0,,,,,0.75,0.06666666666666667,
11040896,3064.4577785,1,145000.0,,,985456.0,2018.0,3,16980,10,408.0,AHS_2023,2023,1,0,5.0,5.0,800.0,,,,,1.0,0.16666666666666666,
